NFORM,CLANGUE,XLIB,DCREATION,DMAJ,XUSER,UPDATED_BY,MODULE_MF,SIGN_MF
FDAUT52,5,MULTI-LANGUAGE ACCOUNTS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFi6jpe026pttulwvhkp0h65i1nnvl
FDAUT53,2,APLICATION TRANSACTIONS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFkcidjvq6e0bvqz2768ovgpbwkgyh
FDAUT53,3,APLICATION TRANSACTIONS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFkcidjvq6e0bvqz2768ovgpbwkgyh
FDAUT53,4,APLICATION TRANSACTIONS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFkcidjvq6e0bvqz2768ovgpbwkgyh
FDAUT54,1,TRANSACTION FEE CODES DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFrsaf2uvfgs7izynzick1853hy9fl
FDAUT54,2,TRANSACTION FEE CODES DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFrsaf2uvfgs7izynzick1853hy9fl
FDAUT54,3,TRANSACTION FEE CODES DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFrsaf2uvfgs7izynzick1853hy9fl
FDAUT54,5,TRANSACTION FEE CODES DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFrsaf2uvfgs7izynzick1853hy9fl
FDAUT55,1,VAT DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3psi0a74idjwc9i9txrv2huukqlq
FDAUT55,2,VAT DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3psi0a74idjwc9i9txrv2huukqlq
FDAUT55,4,VAT DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3psi0a74idjwc9i9txrv2huukqlq
FDAUT55,5,VAT DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3psi0a74idjwc9i9txrv2huukqlq
FDAUT56,1,PRINT SERVER PARAM. DEFINT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3gadfrf9idiyzz4j0xr9wddi1ras
FDAUT56,2,PRINT SERVER PARAM. DEFINT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3gadfrf9idiyzz4j0xr9wddi1ras
FDAUT56,3,PRINT SERVER PARAM. DEFINT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3gadfrf9idiyzz4j0xr9wddi1ras
FDAUT56,4,PRINT SERVER PARAM. DEFINT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3gadfrf9idiyzz4j0xr9wddi1ras
FDAUT56,5,PRINT SERVER PARAM. DEFINT.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF3gadfrf9idiyzz4j0xr9wddi1ras
FDAUT57,1,USERS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF0qijq5qklzb2em8ecesd4wukcdub
FDAUT57,2,USERS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF0qijq5qklzb2em8ecesd4wukcdub
FDAUT57,3,USERS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF0qijq5qklzb2em8ecesd4wukcdub
FDAUT57,4,USERS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF0qijq5qklzb2em8ecesd4wukcdub
FDAUT57,5,USERS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF0qijq5qklzb2em8ecesd4wukcdub
FDAUT58,1,MASTER SECURITIES DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF69k0nganyrmfyo3qdwnmqlrnjqjm
FDAUT58,2,MASTER SECURITIES DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF69k0nganyrmfyo3qdwnmqlrnjqjm
FDAUT58,3,MASTER SECURITIES DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF69k0nganyrmfyo3qdwnmqlrnjqjm
FDAUT58,5,MASTER SECURITIES DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF69k0nganyrmfyo3qdwnmqlrnjqjm
FDAUT59,1,FEES LINK BY CHART,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFi1myhfethphtl1jefenkj8l60anc
FDAUT59,2,FEES LINK BY CHART,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFi1myhfethphtl1jefenkj8l60anc
FDAUT59,4,FEES LINK BY CHART,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFi1myhfethphtl1jefenkj8l60anc
FDAUT59,5,FEES LINK BY CHART,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFi1myhfethphtl1jefenkj8l60anc
FDAUT60,1,OPERATION CODES BY CHART,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF93ta1onma3294iwafyax8cncdeh1
FDAUT60,3,OPERATION CODES BY CHART,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF93ta1onma3294iwafyax8cncdeh1
FDAUT60,4,OPERATION CODES BY CHART,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF93ta1onma3294iwafyax8cncdeh1
